age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
55.0,18.21,753.0,15.42,2.0,1
35.0,1.93,802.0,2.94,4.0,0
31.0,24.62,650.0,7.66,0.0,1
56.0,11.77,690.0,23.67,2.0,0
25.0,7.94,505.0,14.3,2.0,0
44.0,23.64,472.0,8.55,4.0,1
25.0,21.09,802.0,12.0,1.0,1
48.0,6.01,561.0,4.87,3.0,1
31.0,19.91,547.0,22.31,4.0,1
42.0,24.63,825.0,18.7,1.0,1
56.0,16.54,541.0,10.47,2.0,1
39.0,3.34,733.0,9.75,0.0,0
33.0,3.38,453.0,25.08,0.0,0
51.0,2.42,816.0,5.87,3.0,0
60.0,19.14,565.0,22.54,3.0,1
30.0,19.74,711.0,2.47,2.0,1
33.0,9.5,573.0,11.79,4.0,0
58.0,2.27,497.0,25.98,3.0,0
28.0,18.99,510.0,13.92,2.0,1
50.0,12.01,503.0,26.11,1.0,0
46.0,19.76,749.0,16.22,2.0,1
26.0,3.75,468.0,8.68,0.0,0
47.0,18.0,460.0,3.58,4.0,1
21.0,2.63,464.0,6.23,3.0,0
30.0,15.02,649.0,9.42,3.0,1
60.0,19.83,763.0,20.33,0.0,1
31.0,8.47,1000.0,10.37,2.0,1
21.0,2.76,549.0,3.7,4.0,0
45.0,22.09,799.0,6.26,4.0,1
42.0,3.17,787.0,26.72,4.0,0
56.0,11.74,650.0,3.4,0.0,1
62.0,11.39,637.0,9.52,4.0,1
39.0,17.97,490.0,10.84,2.0,1
53.0,23.07,492.0,18.97,1.0,1
35.0,14.18,652.0,18.71,4.0,1
23.0,6.27,799.0,6.87,0.0,1
59.0,5.38,847.0,9.37,3.0,1
21.0,16.74,650.0,6.61,1.0,1
48.0,12.85,760.0,22.26,1.0,1
42.0,22.8,463.0,29.15,4.0,1
64.0,2.4,551.0,22.42,4.0,0
21.0,21.93,620.0,19.62,4.0,1
52.0,23.67,466.0,15.17,0.0,1
48.0,8.62,530.0,2.04,4.0,1
27.0,2.23,464.0,3.33,0.0,0
30.0,18.41,850.0,5.45,0.0,1
44.0,9.05,827.0,6.96,4.0,1
33.0,23.5,465.0,3.49,2.0,1
52.0,3.07,806.0,13.98,4.0,0
26.0,12.57,774.0,2.06,,1
58.0,17.97,725.0,19.34,2.0,1
54.0,2.37,523.0,11.84,3.0,0
47.0,14.3,510.0,15.88,4.0,1
44.0,22.83,586.0,4.27,1.0,1
22.0,18.64,559.0,25.6,3.0,1
52.0,1.78,489.0,8.92,0.0,0
48.0,7.14,572.0,9.87,1.0,1
40.0,9.51,657.0,9.79,1.0,1
40.0,10.8,732.0,29.49,4.0,0
64.0,23.16,528.0,12.35,0.0,1
59.0,4.3,539.0,12.03,1.0,0
27.0,15.92,790.0,21.93,1.0,1
63.0,21.22,479.0,27.99,4.0,1
46.0,16.21,569.0,12.16,4.0,1
32.0,12.68,516.0,23.32,1.0,0
55.0,17.08,666.0,29.0,3.0,1
24.0,20.89,622.0,13.28,2.0,1
28.0,3.02,801.0,23.7,1.0,0
50.0,15.74,524.0,1.24,1.0,1
15.0,10.15,529.0,22.1,1.0,0
34.0,15.62,714.0,16.6,1.0,1
29.0,17.11,683.0,6.32,3.0,1
42.0,23.45,614.0,11.52,2.0,1
36.0,14.77,586.0,28.48,4.0,0
22.0,12.73,486.0,11.68,3.0,1
27.0,22.98,782.0,15.63,1.0,1
38.0,20.96,671.0,24.78,3.0,1
46.0,10.36,786.0,16.68,0.0,1
29.0,10.27,617.0,9.12,3.0,1
61.0,5.29,773.0,6.68,4.0,0
32.0,16.01,610.0,3.56,1.0,1
64.0,24.17,502.0,23.68,1.0,1
52.0,11.72,552.0,,2.0,0
59.0,15.09,699.0,5.78,4.0,1
62.0,11.34,808.0,26.83,4.0,0
38.0,14.29,700.0,6.43,4.0,1
59.0,11.04,722.0,15.2,0.0,1
25.0,24.97,773.0,18.32,2.0,1
58.0,21.21,,3.35,2.0,1
48.0,16.21,787.0,15.33,2.0,1
56.0,12.01,832.0,6.29,0.0,1
23.0,4.37,820.0,16.59,0.0,0
41.0,5.53,741.0,28.6,1.0,0
55.0,1.6,733.0,24.01,3.0,0
47.0,6.73,792.0,5.66,2.0,1
30.0,23.12,499.0,12.34,1.0,1
22.0,17.99,763.0,1.73,1.0,1
63.0,11.18,590.0,8.59,1.0,1
44.0,7.68,496.0,18.03,0.0,0
34.0,9.8,621.0,9.11,4.0,1
48.0,11.01,690.0,1.18,0.0,1
38.0,14.66,797.0,25.76,2.0,1
21.0,23.82,705.0,23.35,0.0,1
57.0,7.71,555.0,28.45,2.0,0
62.0,12.08,576.0,8.61,1.0,1
54.0,14.56,580.0,20.02,3.0,1
35.0,10.65,805.0,5.72,2.0,1
27.0,2.92,557.0,5.32,4.0,0
,3.67,534.0,8.55,3.0,0
23.0,18.44,743.0,15.04,2.0,1
27.0,11.73,614.0,25.35,3.0,0
62.0,22.25,534.0,22.94,3.0,1
61.0,17.48,491.0,26.79,3.0,0
36.0,6.52,640.0,21.71,1.0,0
39.0,19.96,759.0,8.32,4.0,1
24.0,15.07,652.0,25.11,2.0,1
15.0,19.44,753.0,24.54,4.0,1
35.0,19.28,800.0,1.13,0.0,1
25.0,2.17,770.0,10.44,4.0,0
62.0,8.56,600.0,24.43,4.0,0
23.0,14.66,664.0,6.97,4.0,1
54.0,24.25,535.0,23.37,3.0,1
26.0,9.63,521.0,27.89,1.0,0
46.0,3.88,571.0,3.73,0.0,1
58.0,4.29,681.0,19.83,3.0,0
42.0,7.79,501.0,23.61,4.0,0
52.0,24.53,482.0,,4.0,1
59.0,15.09,496.0,22.24,2.0,1
50.0,3.13,501.0,10.37,4.0,0
60.0,24.76,614.0,3.67,2.0,1
40.0,21.81,535.0,2.27,2.0,1
52.0,24.21,735.0,29.15,1.0,1
30.0,24.83,587.0,8.46,4.0,1
51.0,23.63,452.0,9.16,1.0,1
61.0,12.03,566.0,15.15,2.0,1
64.0,22.53,521.0,22.76,2.0,1
60.0,16.62,466.0,1.42,0.0,1
56.0,8.53,481.0,15.07,1.0,0
40.0,9.15,470.0,25.34,0.0,0
44.0,,741.0,21.25,1.0,1
42.0,4.03,615.0,25.73,2.0,0
36.0,20.77,676.0,8.17,2.0,1
60.0,22.19,627.0,11.8,2.0,1
47.0,24.61,643.0,14.21,0.0,1
42.0,14.95,453.0,7.54,2.0,1
55.0,3.23,616.0,14.32,,0
23.0,14.16,731.0,25.9,4.0,0
,17.79,467.0,25.13,1.0,1
42.0,13.17,765.0,19.67,1.0,1
37.0,23.74,583.0,28.32,3.0,1
46.0,2.76,850.0,7.98,3.0,0
27.0,3.07,456.0,17.76,4.0,0
30.0,20.6,539.0,8.18,2.0,1
32.0,5.63,463.0,17.2,2.0,0
42.0,3.62,570.0,6.38,4.0,0
29.0,18.25,498.0,16.94,1.0,1
60.0,-5.0,476.0,17.56,1.0,1
64.0,5.05,537.0,15.03,0.0,0
61.0,11.53,548.0,21.37,2.0,0
51.0,3.65,832.0,14.9,,0
37.0,6.48,842.0,27.17,4.0,0
29.0,8.67,496.0,22.21,0.0,0
33.0,19.21,670.0,29.01,4.0,1
36.0,22.67,531.0,6.22,2.0,1
54.0,5.51,586.0,10.86,4.0,0
64.0,11.77,750.0,24.19,3.0,0
52.0,22.33,585.0,3.72,3.0,1
43.0,21.99,740.0,22.46,0.0,1
54.0,7.7,741.0,14.16,4.0,0
31.0,17.01,674.0,9.39,1.0,1
51.0,10.85,567.0,26.01,3.0,0
51.0,22.82,1000.0,24.86,3.0,1
36.0,21.27,543.0,24.28,4.0,1
30.0,4.71,456.0,7.48,1.0,0
63.0,2.86,486.0,2.05,0.0,1
36.0,7.08,616.0,19.48,2.0,0
56.0,2.14,500.0,27.11,3.0,0
54.0,6.69,477.0,27.24,3.0,0
22.0,,508.0,27.91,0.0,1
28.0,23.09,732.0,12.84,4.0,1
28.0,23.83,625.0,6.06,,1
36.0,21.27,543.0,24.28,4.0,1
58.0,10.43,823.0,25.81,2.0,0
48.0,7.72,471.0,15.97,4.0,0
35.0,23.73,522.0,23.46,1.0,1
63.0,16.78,568.0,6.68,4.0,1
56.0,18.34,780.0,2.93,4.0,1
22.0,7.96,661.0,14.03,2.0,0
60.0,24.65,652.0,28.27,2.0,1
28.0,20.98,801.0,18.34,0.0,1
29.0,13.13,530.0,27.52,1.0,0
42.0,11.29,774.0,12.96,0.0,1
49.0,19.27,483.0,18.74,1.0,1
38.0,10.41,777.0,20.41,4.0,0
36.0,5.34,678.0,25.08,3.0,0
57.0,20.65,706.0,10.43,0.0,1
27.0,18.12,729.0,22.76,0.0,1
58.0,20.08,529.0,5.58,0.0,1
44.0,18.61,709.0,24.24,0.0,1
,11.11,482.0,22.13,4.0,0
34.0,7.35,712.0,20.64,2.0,0
47.0,10.75,451.0,22.77,1.0,0
,7.2,609.0,26.81,1.0,0
35.0,18.28,479.0,19.27,2.0,1
53.0,21.48,569.0,14.23,2.0,1
36.0,24.25,743.0,,3.0,1
60.0,7.26,572.0,10.72,1.0,1
58.0,20.82,812.0,26.19,3.0,1
39.0,23.38,518.0,18.35,0.0,1
64.0,22.34,476.0,15.03,4.0,1
47.0,5.03,722.0,14.5,1.0,0
47.0,2.89,838.0,1.53,4.0,1
15.0,19.45,831.0,27.44,3.0,1
38.0,11.43,527.0,7.12,0.0,1
58.0,6.81,841.0,19.15,2.0,0
59.0,15.33,788.0,20.48,0.0,1
55.0,2.8,637.0,8.52,3.0,0
33.0,20.42,491.0,29.36,2.0,1
33.0,7.37,566.0,28.94,3.0,0
26.0,20.03,597.0,6.86,0.0,1
39.0,23.08,541.0,18.45,1.0,1
36.0,19.45,465.0,,4.0,1
48.0,16.21,787.0,15.33,2.0,1
27.0,18.62,792.0,3.03,1.0,1
33.0,21.04,480.0,26.12,0.0,1
42.0,3.12,633.0,,3.0,0
50.0,6.73,627.0,24.77,4.0,0
38.0,18.62,,25.73,3.0,1
45.0,,781.0,13.32,2.0,1
22.0,21.95,727.0,29.8,3.0,1
46.0,5.71,536.0,24.58,4.0,0
47.0,4.86,820.0,20.16,3.0,0
64.0,23.81,816.0,6.47,2.0,1
32.0,16.04,848.0,17.39,1.0,1
53.0,3.2,617.0,16.7,0.0,0
54.0,2.01,724.0,12.92,1.0,0
55.0,6.34,747.0,29.48,3.0,0
44.0,11.87,674.0,15.05,2.0,1
29.0,17.33,834.0,26.43,0.0,1
22.0,21.75,484.0,26.93,4.0,1
49.0,10.52,720.0,29.66,1.0,0
40.0,10.78,717.0,25.64,4.0,0
31.0,4.25,826.0,27.32,4.0,0
25.0,14.1,590.0,15.87,4.0,1
33.0,19.56,678.0,4.6,4.0,1
54.0,18.39,505.0,11.13,,1
51.0,20.84,550.0,27.67,3.0,1
31.0,18.67,722.0,10.45,1.0,1
30.0,7.15,583.0,14.34,2.0,0
22.0,22.96,743.0,9.91,3.0,1
,16.94,736.0,15.54,2.0,1
40.0,2.47,480.0,20.61,2.0,0
41.0,6.67,596.0,20.31,0.0,0
41.0,2.54,537.0,21.14,0.0,0
23.0,14.48,691.0,18.64,4.0,1
35.0,13.64,611.0,8.0,1.0,1
36.0,7.39,651.0,14.68,2.0,0
34.0,16.18,607.0,16.22,0.0,1
43.0,1.99,660.0,26.76,1.0,0
57.0,3.61,561.0,16.92,1.0,0
62.0,19.54,584.0,24.76,4.0,1
42.0,12.67,801.0,13.52,2.0,1
53.0,4.63,514.0,8.4,1.0,0
61.0,6.44,840.0,9.41,3.0,1
59.0,9.07,752.0,25.88,2.0,0
55.0,7.07,552.0,4.08,1.0,1
45.0,4.19,606.0,11.85,1.0,0
45.0,15.21,724.0,14.99,3.0,1
58.0,21.78,762.0,26.49,3.0,1
48.0,22.02,472.0,16.42,4.0,1
47.0,5.76,738.0,5.03,1.0,1
28.0,11.44,785.0,3.29,4.0,1
28.0,19.85,765.0,13.77,,1
28.0,11.25,767.0,5.01,3.0,1
57.0,23.87,497.0,9.43,4.0,1
57.0,19.19,488.0,13.63,1.0,1
24.0,13.65,531.0,6.68,2.0,1
63.0,6.45,621.0,4.45,3.0,1
58.0,17.97,725.0,19.34,2.0,1
52.0,21.67,595.0,28.11,4.0,1
25.0,2.69,464.0,6.39,3.0,0
26.0,23.34,559.0,14.83,0.0,1
59.0,4.42,726.0,2.1,1.0,1
31.0,15.86,764.0,28.4,1.0,1
34.0,18.94,649.0,12.17,3.0,1
53.0,21.82,755.0,13.98,1.0,1
40.0,4.91,831.0,14.09,4.0,0
24.0,9.85,717.0,10.7,0.0,1
35.0,19.3,580.0,19.77,3.0,1
52.0,19.69,740.0,8.19,2.0,1
34.0,17.1,611.0,12.59,-2.0,1
30.0,4.26,,12.69,1.0,0
61.0,11.93,477.0,22.62,3.0,0
64.0,5.54,505.0,18.67,3.0,0
40.0,12.62,624.0,1.44,0.0,1
,4.56,824.0,20.75,0.0,0
56.0,3.19,674.0,3.42,3.0,0
57.0,12.19,641.0,25.76,2.0,0
23.0,2.78,637.0,27.11,0.0,0
30.0,7.07,513.0,16.97,0.0,0
23.0,9.31,606.0,27.85,2.0,0
24.0,20.07,481.0,10.96,0.0,1
33.0,8.16,610.0,27.43,,0
58.0,14.31,826.0,18.14,2.0,1
53.0,8.83,755.0,21.74,3.0,0
57.0,22.41,454.0,6.46,3.0,1
54.0,22.19,569.0,29.82,1.0,1
42.0,21.66,610.0,12.29,4.0,1
26.0,7.25,709.0,10.44,1.0,1
41.0,23.7,607.0,8.43,2.0,1
22.0,16.63,828.0,15.93,3.0,1
21.0,23.33,759.0,1.47,4.0,1
45.0,5.9,653.0,10.31,1.0,1
50.0,7.7,799.0,13.89,2.0,1
60.0,4.17,463.0,26.82,1.0,0
35.0,2.15,546.0,24.12,3.0,0
38.0,12.62,618.0,4.04,3.0,1
51.0,20.24,818.0,29.91,1.0,1
46.0,2.27,639.0,12.73,1.0,0
48.0,16.28,804.0,27.56,1.0,1
63.0,3.66,606.0,9.43,4.0,0
36.0,5.89,584.0,,2.0,0
63.0,6.59,688.0,17.8,3.0,0
46.0,2.98,680.0,20.62,4.0,0
31.0,2.5,738.0,4.81,1.0,1
55.0,9.73,579.0,24.69,0.0,0
63.0,24.67,761.0,24.8,0.0,1
33.0,14.99,518.0,5.37,2.0,1
24.0,16.91,745.0,7.58,4.0,1
28.0,9.38,811.0,28.54,1.0,0
27.0,8.8,783.0,10.04,3.0,1
62.0,16.85,467.0,13.22,1.0,1
51.0,14.99,527.0,16.68,2.0,1
33.0,23.03,599.0,10.75,1.0,1
28.0,11.8,679.0,18.2,0.0,1
30.0,20.26,476.0,24.17,4.0,1
40.0,24.08,608.0,3.5,2.0,1
42.0,15.86,503.0,14.5,0.0,1
43.0,21.97,731.0,9.06,4.0,1
23.0,20.0,649.0,3.93,2.0,1
41.0,24.38,665.0,12.15,0.0,1
45.0,18.67,755.0,26.42,4.0,1
57.0,22.19,565.0,26.71,3.0,1
28.0,16.43,484.0,9.82,0.0,1
48.0,8.69,836.0,28.2,3.0,0
28.0,6.91,487.0,26.28,,0
47.0,9.48,665.0,10.46,3.0,1
40.0,17.13,663.0,23.3,3.0,1
62.0,17.13,678.0,7.3,1.0,1
58.0,15.87,662.0,26.8,0.0,1
62.0,,,5.47,1.0,1
41.0,23.9,473.0,23.13,2.0,1
40.0,14.74,643.0,16.04,1.0,1
26.0,18.48,711.0,17.99,4.0,1
32.0,11.22,684.0,21.62,2.0,0
52.0,22.92,847.0,20.78,1.0,1
43.0,5.11,527.0,28.2,4.0,0
48.0,6.41,540.0,19.51,4.0,0
41.0,12.36,525.0,13.18,4.0,1
47.0,12.38,807.0,14.61,3.0,1
42.0,2.59,648.0,3.29,0.0,1
40.0,22.83,845.0,12.1,1.0,1
24.0,22.98,551.0,8.03,0.0,1
43.0,11.01,834.0,19.46,2.0,1
63.0,15.2,830.0,12.79,0.0,1
52.0,20.39,595.0,11.33,0.0,1
38.0,15.24,708.0,19.37,1.0,1
50.0,7.85,531.0,15.86,3.0,0
23.0,4.12,680.0,7.53,4.0,0
40.0,20.8,699.0,18.07,4.0,1
55.0,24.64,825.0,9.93,1.0,1
42.0,20.51,680.0,10.26,3.0,1
57.0,1.71,748.0,17.55,0.0,0
49.0,7.47,820.0,20.99,2.0,0
25.0,16.96,698.0,16.08,2.0,1
29.0,3.2,545.0,28.13,3.0,0
42.0,20.0,783.0,4.84,3.0,1
63.0,16.53,617.0,4.61,2.0,1
39.0,3.34,733.0,9.75,0.0,0
52.0,4.73,797.0,24.74,2.0,0
61.0,16.12,454.0,11.99,4.0,1
43.0,20.18,665.0,26.56,2.0,1
23.0,23.15,827.0,2.24,1.0,1
37.0,13.74,669.0,19.22,2.0,1
50.0,20.62,695.0,1.25,2.0,1
43.0,17.41,838.0,29.23,4.0,1
23.0,2.59,539.0,14.53,1.0,0
54.0,21.24,626.0,2.54,0.0,1
28.0,17.94,800.0,6.28,1.0,1
46.0,10.86,832.0,5.77,3.0,1
30.0,17.13,734.0,14.12,4.0,1
41.0,18.53,697.0,5.57,3.0,1
33.0,14.41,638.0,9.74,3.0,1
52.0,1.67,750.0,11.14,1.0,0
21.0,8.8,626.0,2.55,0.0,1
26.0,23.78,552.0,,4.0,1
26.0,3.14,626.0,5.95,4.0,0
21.0,18.76,722.0,20.97,0.0,1
53.0,16.84,653.0,18.17,3.0,1
42.0,10.09,465.0,20.85,4.0,0
44.0,15.07,777.0,4.61,3.0,1
48.0,7.72,471.0,15.97,4.0,0
64.0,13.0,634.0,14.16,1.0,1
51.0,10.93,721.0,11.94,3.0,1
51.0,15.59,488.0,14.59,4.0,1
54.0,14.39,726.0,17.32,3.0,1
47.0,5.03,760.0,10.28,4.0,0
50.0,6.36,612.0,27.27,0.0,0
53.0,5.13,525.0,29.32,3.0,0
34.0,1.53,787.0,26.05,3.0,0
35.0,24.68,474.0,17.65,4.0,1
61.0,1.86,591.0,29.86,4.0,0
56.0,17.14,604.0,12.13,3.0,1
55.0,15.3,721.0,6.68,3.0,1
52.0,9.27,606.0,20.48,2.0,0
53.0,6.76,662.0,28.98,1.0,0
61.0,17.47,518.0,20.21,0.0,1
52.0,21.2,788.0,23.87,3.0,1
31.0,21.6,799.0,20.12,4.0,1
34.0,2.68,691.0,16.15,4.0,0
60.0,15.42,776.0,9.03,2.0,1
43.0,16.46,549.0,20.71,1.0,1
23.0,5.73,759.0,26.95,4.0,0
64.0,11.54,820.0,19.04,4.0,1
53.0,21.06,744.0,28.25,1.0,1
29.0,16.93,767.0,10.74,3.0,1
63.0,19.07,708.0,25.71,4.0,1
58.0,22.1,581.0,28.92,3.0,1
30.0,19.06,464.0,29.31,2.0,1
41.0,10.09,808.0,29.27,1.0,0
36.0,22.64,817.0,1.74,1.0,1
44.0,19.19,805.0,26.08,3.0,1
40.0,20.53,748.0,19.04,1.0,1
60.0,17.15,529.0,14.35,2.0,1
31.0,5.63,474.0,12.35,2.0,0
22.0,15.19,458.0,4.93,3.0,1
56.0,7.38,502.0,9.38,0.0,1
59.0,3.11,802.0,25.75,1.0,0
62.0,3.53,515.0,9.86,0.0,0
54.0,17.03,704.0,10.35,2.0,1
24.0,16.85,556.0,15.64,0.0,1
31.0,18.33,594.0,12.66,0.0,1
28.0,18.81,721.0,18.09,4.0,1
50.0,8.35,764.0,18.87,0.0,1
64.0,8.6,834.0,27.84,2.0,0
45.0,16.5,481.0,15.56,3.0,1
36.0,19.08,490.0,25.68,-2.0,1
22.0,10.06,660.0,27.85,3.0,0
47.0,6.23,813.0,16.59,0.0,1
41.0,23.25,559.0,25.33,1.0,1
36.0,4.51,570.0,25.14,3.0,0
30.0,22.44,466.0,8.46,0.0,1
50.0,12.46,453.0,5.76,2.0,1
53.0,24.66,597.0,8.47,1.0,1
31.0,18.76,609.0,9.25,4.0,1
26.0,5.19,807.0,8.29,0.0,1
32.0,16.65,555.0,24.26,2.0,1
47.0,9.37,643.0,21.74,2.0,0
53.0,4.17,458.0,3.84,0.0,1
57.0,6.46,692.0,17.29,2.0,0
34.0,24.77,700.0,6.35,4.0,1
29.0,14.51,545.0,23.13,2.0,1
35.0,15.2,490.0,2.97,4.0,1
41.0,10.16,609.0,14.89,2.0,1
36.0,20.46,491.0,20.02,1.0,1
52.0,13.97,547.0,3.26,1.0,1
43.0,10.85,767.0,10.62,2.0,1
57.0,13.25,787.0,18.84,2.0,1
40.0,9.17,752.0,24.45,0.0,0
15.0,3.52,624.0,17.86,4.0,0
37.0,17.82,603.0,14.25,0.0,1
27.0,8.32,652.0,29.64,1.0,0
64.0,24.92,,27.51,3.0,1
29.0,20.49,621.0,21.19,2.0,1
59.0,20.07,,29.73,0.0,1
53.0,21.28,777.0,10.35,0.0,1
30.0,4.81,831.0,5.45,0.0,1
42.0,3.95,691.0,17.54,1.0,0
32.0,7.03,656.0,13.99,2.0,0
64.0,24.17,708.0,26.01,1.0,1
46.0,10.07,493.0,19.33,1.0,0
64.0,3.07,653.0,11.84,4.0,0
21.0,8.33,831.0,25.19,0.0,0
64.0,6.58,845.0,21.91,2.0,0
53.0,19.67,801.0,24.53,2.0,1
24.0,17.33,748.0,25.3,0.0,1
64.0,12.29,586.0,13.04,1.0,1
25.0,9.01,841.0,19.01,4.0,0
41.0,,731.0,19.68,4.0,0
46.0,12.51,838.0,19.44,3.0,1
41.0,13.79,824.0,5.67,3.0,1
29.0,8.23,497.0,24.38,2.0,0
62.0,19.03,799.0,24.43,1.0,1
50.0,7.94,752.0,26.46,2.0,0
49.0,22.94,537.0,21.91,0.0,1
45.0,18.27,818.0,23.58,4.0,1
38.0,24.6,618.0,4.74,3.0,1
61.0,10.69,526.0,2.19,2.0,1
44.0,24.24,514.0,26.21,1.0,1
31.0,16.82,592.0,21.22,2.0,1
53.0,22.55,738.0,14.95,2.0,1
15.0,10.64,710.0,18.01,4.0,0
29.0,4.85,473.0,9.91,4.0,0
40.0,4.97,635.0,25.36,1.0,0
35.0,22.6,817.0,4.75,4.0,1
63.0,22.55,763.0,29.67,2.0,1
61.0,24.58,475.0,14.87,4.0,1
50.0,21.89,696.0,4.04,0.0,1
58.0,5.95,783.0,27.8,4.0,0
31.0,21.79,515.0,12.87,4.0,1
43.0,17.69,631.0,19.45,0.0,1
47.0,-5.0,476.0,29.76,1.0,0
47.0,2.81,677.0,27.16,0.0,0
33.0,11.23,667.0,22.55,,0
,18.84,694.0,9.89,1.0,1
64.0,22.53,521.0,22.76,2.0,1
45.0,16.84,738.0,15.41,0.0,1
36.0,8.65,792.0,14.63,4.0,0
50.0,14.03,569.0,2.29,0.0,1
43.0,11.64,730.0,8.5,-2.0,1
24.0,5.97,487.0,4.13,4.0,0
49.0,7.26,537.0,9.7,1.0,1
42.0,11.43,568.0,11.57,0.0,1
35.0,18.15,455.0,19.04,3.0,1
31.0,10.05,558.0,3.01,4.0,1
40.0,4.57,719.0,16.26,1.0,0
62.0,24.83,563.0,15.55,1.0,1
61.0,16.1,666.0,24.52,4.0,1
40.0,17.53,601.0,27.73,4.0,0
25.0,21.08,668.0,15.03,0.0,1
31.0,1.6,473.0,19.87,0.0,0
62.0,9.65,750.0,15.03,3.0,1
28.0,5.29,565.0,22.75,3.0,0
29.0,18.42,499.0,14.64,3.0,1
30.0,5.91,452.0,21.43,2.0,0
43.0,12.42,595.0,28.35,1.0,0
39.0,7.14,663.0,14.92,1.0,0
63.0,5.93,566.0,17.12,0.0,0
37.0,6.69,489.0,15.1,1.0,0
56.0,14.18,562.0,2.18,2.0,1
56.0,8.98,475.0,22.28,2.0,0
43.0,16.46,769.0,5.15,1.0,1
44.0,15.82,655.0,14.77,4.0,1
33.0,9.94,451.0,4.04,4.0,1
26.0,9.6,814.0,12.06,0.0,1
55.0,9.0,695.0,11.31,2.0,1
48.0,12.63,657.0,28.79,1.0,0
61.0,9.29,462.0,20.74,2.0,0
53.0,8.19,781.0,28.83,3.0,0
29.0,18.35,720.0,4.06,0.0,1
64.0,10.71,552.0,5.01,4.0,1
55.0,14.77,459.0,21.56,1.0,1
64.0,3.66,709.0,20.83,2.0,0
31.0,7.56,640.0,25.16,2.0,0
50.0,14.47,797.0,,4.0,1
42.0,12.23,673.0,19.29,3.0,1
41.0,19.71,462.0,9.2,1.0,1
29.0,9.46,833.0,16.0,4.0,0
25.0,15.53,452.0,11.48,4.0,1
28.0,18.27,674.0,28.14,4.0,1
32.0,16.45,729.0,27.63,3.0,1
29.0,21.8,834.0,23.57,1.0,1
22.0,5.12,458.0,4.65,3.0,0
43.0,20.77,740.0,28.56,4.0,1
44.0,24.98,513.0,18.55,1.0,1
35.0,12.47,579.0,22.42,4.0,0
32.0,6.28,812.0,23.46,1.0,0
21.0,19.42,741.0,24.28,4.0,1
30.0,20.16,615.0,13.58,4.0,1
44.0,9.17,480.0,6.29,1.0,1
57.0,4.48,679.0,16.48,4.0,0
46.0,12.22,490.0,4.64,0.0,1
32.0,20.26,704.0,25.13,3.0,1
46.0,22.1,524.0,27.37,1.0,1
33.0,7.24,815.0,12.4,1.0,1
43.0,10.69,,15.9,1.0,1
45.0,14.17,672.0,13.99,3.0,1
24.0,22.18,658.0,10.14,4.0,1
48.0,17.0,612.0,11.72,2.0,1
59.0,3.48,606.0,5.32,4.0,0
35.0,9.49,845.0,25.24,0.0,0
52.0,11.15,590.0,7.81,2.0,1
22.0,12.73,486.0,11.68,3.0,1
41.0,4.66,850.0,21.42,0.0,0
